LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
75,28,4,110,0,0,0,0,0,0,0,0,0,0,,45165.7132537963
76,27,4,111,0,0,0,0,0,0,0,0,0,0,,45165.7132537963
77,25,4,117,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
78,24,4,118,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
79,23,4,119,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
80,13,4,120,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
81,24,4,121,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
82,29,0,298,1,0,0,0,0,0,0,0,0,0,,45165.7132538079
83,30,0,298,0,0,0,0,0,0,0,0,0,0,,45165.7132538079
84,24,4,122,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
85,26,4,124,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
86,18,4,127,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
87,31,4,128,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
88,27,4,129,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
89,28,4,132,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
90,25,4,133,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
91,23,4,134,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
92,23,4,135,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
93,24,4,136,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
94,25,4,137,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
95,26,4,138,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
96,18,4,141,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
97,31,4,142,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
98,27,4,143,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
99,28,4,145,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
100,28,4,146,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
101,28,4,147,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
102,27,4,148,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
103,31,4,149,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
104,18,4,150,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
105,18,4,151,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
106,26,4,153,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
107,25,4,156,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
108,24,4,157,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
109,23,4,158,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
110,26,4,159,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
111,30,0,299,0,0,0,0,0,0,0,0,0,0,,45165.7132554051
