LinkID,LinkType,rmID,anID,Modified,anVersion,anDate,Status,UTCModDate
59,0,52,38173637527:1030:68081704,0,6B9F5B489C14C62028E2672EF73B9CD4,0.0,0,45165.7132158218
60,0,53,38173637528:1030:68081704,0,CE3EAC7FD60E5DBDB50913C5471AB8EB,0.0,0,45165.7132158565
61,0,54,38173637529:1030:68081704,0,D10AD6F1554B13764BCDC486DB4E0512,0.0,0,45165.7132159491
62,0,55,38173637530:1030:68081704,0,BE7B5970694C55D397647BCABAFA9B44,0.0,0,45165.7132161343
63,0,56,38173637531:1030:68081704,0,1AF834E02521020CBF535FC5E6111298,0.0,0,45165.7132161343
64,0,57,38173637532:1030:68081704,0,B3FF6B8622CE0F1AC389391AAF5BD6CA,0.0,0,45165.7132163194
65,0,58,38173637533:1030:68081704,0,A875D628EC9E165901675CB9473E0AD3,0.0,0,45165.7132163194
66,0,59,38173637534:1030:68081704,0,FFBD1AE2ED2B8008AE25FFC501BB67B2,0.0,0,45165.7132164931
67,0,60,38173637535:1030:68081704,0,C2F05A9B54A4EF28288666049A53C4D3,0.0,0,45165.7132164931
68,0,61,38173637536:1030:68081704,0,3820778AD4864A6C8BB188634E10C1C4,0.0,0,45165.7132166782
69,0,62,38173637537:1030:68081704,0,945971B8E17CEB13FA2D250DE79CE807,0.0,0,45165.7132166782
70,0,63,38173637538:1030:68081704,0,3D446A291EED58CA08C747712A512B32,0.0,0,45165.7132168519
71,0,64,38173637539:1030:68081704,0,7A6A84542FCD7DA48EF75BAD5101307D,0.0,0,45165.7132168519
72,0,65,38173637540:1030:68081704,0,14342276CAE51337F90FDD8E5E528709,0.0,0,45165.713217037
73,0,66,38173637541:1030:68081704,0,CCFEDD43F9C437D6D8A6568EABAADB9C,0.0,0,45165.713217037
74,0,67,38173637542:1030:68081704,0,E50C3397CE5F84CA1C0BD9512F622152,0.0,0,45165.7132173958
75,0,68,38173637543:1030:68081704,0,B3B37DE3B0AE46AFB61AEFB66DCE1105,0.0,0,45165.7132173958
76,0,69,38173637544:1030:68081704,0,7A9B68B3C7F670A9DA40FD6849C24268,0.0,0,45165.713217581
77,0,70,38173637545:1030:68081704,0,2DFFDB0C6F93287484956A5C81BF5524,0.0,0,45165.713217581
78,0,71,38173637546:1030:68081704,0,F6745E47C7936669BC1022F0A5517917,0.0,0,45165.7132177662
79,0,72,38173637547:1030:68081704,0,B1C3DC8E44D3699C0EDC03F075050DE7,0.0,0,45165.7132179514
80,0,73,38173637548:1030:68081704,0,C0629CC38C038A52D042045F63DC5E57,0.0,0,45165.7132179514
81,0,74,38173637549:1030:68081704,0,04A11610F383DA74A3445FEE38C43B3F,0.0,0,45165.713218125
82,0,75,38173637550:1030:68081704,0,BF74D3E12497151D747619DECCA881B6,0.0,0,45165.713218125
83,0,76,38173637551:1030:68081704,0,BAA9E6D24156A3C7A122C353A50315A6,0.0,0,45165.713218125
84,0,77,38173637552:1030:68081704,0,412BF29D31208B02DF9F2499359DD937,0.0,0,45165.7132183102
85,0,78,38173637553:1030:68081704,0,0DAD83A322ABFBF64787DA6044E86109,0.0,0,45165.7132183102
86,0,79,38173637554:1030:68081704,0,39970368C6A17A31288F29181966F9BC,0.0,0,45165.7132184838
87,0,80,38173637555:1030:68081704,0,11AACE2DCCB900A0D3D7E83827B2F628,0.0,0,45165.7132184838
88,0,81,38173637556:1030:68081704,0,21C98C26987D1FBDE42982ABD514D3AD,0.0,0,45165.7132187616
89,0,82,38173637557:1030:68081704,0,081BD7AAF587AF6C16B7E8AF48CFBD43,0.0,0,45165.7132188773
90,0,83,38173637558:1030:68081704,0,5762F16EE19A549EA48C5C5BDE6E517B,0.0,0,45165.7132189352
91,0,84,38173637559:1030:68081704,0,1F3A5F1488DDC1C47C1C1DA51B2AE454,0.0,0,45165.7132190278
92,0,85,38173637560:1030:68081704,0,4448FE53341B930284B5166ACFFB69C8,0.0,0,45165.7132190278
93,0,86,38173637561:1030:68081704,0,135D384922587112C40A76D42904A1DD,0.0,0,45165.7132190278
94,0,87,38173637562:1030:68081704,0,CEE0710DAF025BB256B826AB2ABC43B5,0.0,0,45165.713219213
95,0,88,38173637563:1030:68081704,0,177CA679EDFBBCE73A4F878DEF099D17,0.0,0,45165.7132193866
96,0,89,38173637564:1030:68081704,0,273E921BF83FC5220FEAB1B893B09A66,0.0,0,45165.7132195718
97,0,90,38173637565:1030:68081704,0,44509FFF14F8FBFDDA20D3AF3D5E8E67,0.0,0,45165.7132195718
98,0,91,38173637566:1030:68081704,0,27B9A872F2F6F4738D46916EF30A8FB4,0.0,0,45165.7132198611
99,0,92,38173637567:1030:68081704,0,B94E086A154231263A93C9E908E628F8,0.0,0,45165.7132199306
100,0,93,38173637568:1030:68081704,0,31465A641276B18F84A3BFEFAA2FA5D7,0.0,0,45165.7132200231
101,0,94,38173637569:1030:68081704,0,D230A1B00819FA3A10DA338A5A23528D,0.0,0,45165.7132201042
102,0,95,38173637570:1030:68081704,0,48772E405A86CC8FB38488B73D9A5BA6,0.0,0,45165.7132202315
103,0,96,38173637571:1030:68081704,0,7A25DAE58C0617F6F2705EF06084A33C,0.0,0,45165.7132203125
104,0,97,38173637572:1030:68081704,0,7DDDB12A3F33AEA94DDD813BFCA1C9E5,0.0,0,45165.7132204051
105,0,98,38173637573:1030:68081704,0,7EFE1555DB391F98646D4C8D75929534,0.0,0,45165.7132205093
106,0,99,38173637474:1030:68081704,0,9BBF485EC34885578811AF4DC6D3F3C9,0.0,0,45165.7132206134
107,0,100,38173637475:1030:68081704,0,988D958A9328E372322CC6F34E909A7E,0.0,0,45165.7132206481
108,0,101,38173637476:1030:68081704,0,470F3E0F6A4A9E1CF0459D6CE79F4769,0.0,0,45165.7132208565
109,0,102,38173637477:1030:68081704,0,5B7AA9D4813094279327CF83071A6DF6,0.0,0,45165.7132209144
110,0,103,38173637478:1030:68081704,0,82E5D845A9870C48AE61BD73B33CF3A6,0.0,0,45165.7132210301
111,0,104,38173637479:1030:68081704,0,7DC747AB1D535726FE29D6116603FCAB,0.0,0,45165.7132210301
112,0,105,38173637480:1030:68081704,0,162E3846EA618C919E113C99384A0A6B,0.0,0,45165.7132212847
113,0,106,38173637481:1030:68081704,0,85A51D3CEADC5CBFDF0BB56DAA4E3ECB,0.0,0,45165.7132214236
114,0,107,38173637482:1030:68081704,0,0321DBB6542AA9C9F961658230C213B1,0.0,0,45165.7132215394
115,0,108,38173637483:1030:68081704,0,9E5A29A1B248F1BBD4BA0128A0E5B064,0.0,0,45165.7132216551
116,0,109,38173637484:1030:68081704,0,D0D9B6036640E42F30D65BC40A29CA14,0.0,0,45165.713221794
117,0,110,38173637485:1030:68081704,0,136B70E65A871FBE7FD47C7BAC73D155,0.0,0,45165.7132218403
118,0,111,38173637486:1030:68081704,0,0C664D2CA7419580D44F1BF0239B8907,0.0,0,45165.7132220255
119,0,112,38173637487:1030:68081704,0,C417FA03D3AD1B5BA4ED44C4E30F6825,0.0,0,45165.7132220255
120,0,113,38173637488:1030:68081704,0,80FE378CD70274E3EB9517C843E5B5BD,0.0,0,45165.7132222106
121,0,114,38173637489:1030:68081704,0,3DB34E51F2BC8975B1835DC7AA94D8D3,0.0,0,45165.7132223843
122,0,115,38173637490:1030:68081704,0,96044E77AF9EE69A6C08986053309CD0,0.0,0,45165.7132223843
123,0,116,38173637491:1030:68081704,0,35B6A8450E7066D71180493F7D82212C,0.0,0,45165.7132225694
